#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation
135,4,17,32,23,13,0.0039568953814620115,16,0.007359814475265771,0.46864180757430357,0.8065843609134846
136,5,19,7,11,70,0.15094467606658987,64,0.7923168624866254,15.05682119518641,0.06584362142983778
137,2,42,27,49,45,0.3407535944382207,8,0.0004525386278170167,0.34323678469216384,0.880658437930998
138,3,42,31,29,98,0.15825080102415717,32,0.01052015217616159,0.628585595162317,0.7695473255934538
139,3,38,30,3,21,0.12035009964779948,32,0.008850074914473439,0.8399984434308339,0.6872427993350558
140,5,42,6,46,94,0.1870111993894189,8,0.00014130259905995336,0.5046964969654633,0.7613168712015506
141,1,32,23,43,35,0.301521373409426,4,0.07814350607844542,1.8575093000514027,0.2551440336576705
142,5,26,2,34,100,0.09963527503208146,4,0.0074451229107951435,0.3536552390689222,0.8683127559752131
143,3,22,16,45,34,0.7128194938461444,32,0.005454271305329836,0.533486341620669,0.7736625536479087
144,3,48,10,4,7,0.6080111394777586,16,0.003065395295056527,0.6924111959620268,0.6255144042733275
145,4,38,33,48,68,0.32050835930200433,64,0.16913295170296488,2.701989072831079,0.185185185921045
146,6,36,13,33,78,0.6873043245189815,4,0.09839952296278226,2.417510693946493,0.12757201658354866
147,2,12,11,6,9,0.7945234608845105,8,0.00025728259674479324,1.3291360002486303,0.436213993241267
148,6,45,37,28,78,0.691403292574565,16,0.016681005372000592,0.810598854665403,0.6831275742240404
149,6,19,41,5,39,0.14830939288962072,4,0.000501996513311008,0.3508608213668007,0.843621400893961
150,4,12,10,41,44,0.47551368022056084,4,0.00013186214013947485,1.4749273169678425,0.304526747990047
151,1,26,36,19,41,0.1042143427188186,4,2.47967289250216,14.0618772742189,0.12757201658354866
152,6,38,10,23,76,0.255118222527797,16,0.2033800305846982,2.3221712602999967,0.17695473324614788
153,6,28,37,17,79,0.45235545577855535,32,0.0034796979038876916,0.4203066087247413,0.8395061745565124
154,1,29,49,43,63,0.030336961295677756,8,0.435149650092505,2.447641938802146,0.1481481482094698
155,3,9,33,25,58,0.6688778087748048,16,0.013095350204826677,0.5770256321861911,0.7037037041942769
156,2,42,20,36,89,0.5975238228071131,16,0.06134621717992506,1.4696789293132202,0.320987654443631
157,3,3,42,27,25,0.3319527573187571,64,0.13431611700460153,2.3780718673894436,0.2139917685661787
158,1,29,6,35,19,0.5795104542011603,32,0.00021150728248687948,0.7499723165859411,0.6954732515193798
159,1,4,19,29,95,0.8476321140382905,32,0.0001216424293857368,1.885571045149501,0.3456790113645326
160,1,35,40,22,42,0.6954943468272823,32,0.28083319988231725,1.8792346877816282,0.25102880621643225
161,1,49,2,46,19,0.5131486470885654,4,0.0015352750287804227,0.5655470339604366,0.7407407395143077
162,2,18,6,23,73,0.6590899622261887,8,2.0151357338155584,14.0618772742189,0.12757201658354866
163,1,39,46,13,88,0.3554433992506461,64,0.008451366330684721,0.37402394634706004,0.8683127589186523
164,2,37,25,35,34,0.17767067033092895,4,6.092349152400711,13.730229652467578,0.1481481482094698
165,1,7,18,39,59,0.42031818009345323,16,2.287490817355704,14.0618772742189,0.12757201658354866
166,2,40,45,41,86,0.3694329089330271,4,0.0004371602248248502,0.4920572385253239,0.7695473255934538
167,2,15,30,49,6,0.3040643237448601,64,0.0007258733650817253,0.6313848701524146,0.748971193906211
168,6,25,18,35,67,0.12839795720232702,8,0.7060717714137773,14.52618443524396,0.09876543212942626
169,1,27,3,42,47,0.6313067795739099,64,0.008164167604921472,1.0691452283918121,0.5596707841005836
170,4,3,49,46,71,0.8546479949286048,64,0.021004982416539152,1.6655581252565108,0.41152263349956936
171,5,16,31,2,67,0.3069271943867444,32,1.4593657991557576,13.730229652467578,0.1481481482094698
172,2,29,44,24,91,0.25042229598441607,4,0.9418331534647951,13.730229652467578,0.1481481482094698
